pinyin,simplified,traditional,rank
ba,吧,,533
bà,爸,,991
bā,八,,282
bái,白,,233
bǎi,百,,304
bāng,帮,幫,576
běi,北,,181
běn,本,,87
bǐ,比,,210
biān,边,邊,274
biàn/pián,便,,155
bù,不,,4
bù,步,,360
cháng／zhǎng,长,長,100
chē,车,車,232
chī,吃,,305
chū,出,,26
chuáng,床,,1000
dà,大,,13
dào,到,,18
de,的,,1
dì,弟,,445
diàn,电,電,161
diàn,店,,814
diǎn,点,點,123
dōng,东,東,167
dú,读,讀,448
duì,对,對,46
duō,多,,54
er,儿,兒,133
èr,二,,120
fàn,饭,飯,618
fēi,飞,飛,450
fēn,分,,105
gè,个,個,17
gē,哥,,522
gōng,公,,92
gōng,工,,130
gǒu,狗,,1114
guì,贵,貴,909
guó,国,國,16
guò,过,過,43
hái,还,還,65
hái,孩,,417
hàn,汉,漢,528
hǎo,好,,58
hé,和,,23
hěn,很,,148
hóu,侯,,1866
hòu,后,後,50
huì,会,會,38
huǒ,火,,427
jiā,家,,44
jiàn,见,見,88
jiào,叫,,237
jiě,姐,,719
jìn,进,進,114
jìn,近,們,342
jīn,金,,242
jīn,今,,261
jiù,就,,32
jiǔ,九,,213
kāi,开,開,76
kàn,看,,73
kǒu,口 ,,170
lái,来,來,14
lǎo,老,,96
le,了,,5
léi,雷,,1203
lǐ,里,裡裏,49
liǎng,两,兩,99
líng,零,,1265
liù,六,,313
ma,吗,嗎,524
mǎ,马,馬,221
mā,妈,媽,560
mài,卖,買,895
mǎi,买,買,641
máng,忙,,672
māo,猫,貓,1671
me,么,麼,52
méi,没,沒,61
mèi,妹,,857
měi,美 ,,122
měi,每,,319
men,们,,20
mén,门,門,164
miàn,面,,91
míng,明,,125
míng,名,,139
nà,那,,33
nǎ,哪,,495
nán,男,,501
nǎo,脑,腦,555
néng,能,,57
nǐ,你,,24
nián,年,,30
nín,您,,848
nǚ,女,,141
pǎo,跑,,818
péng,朋,,645
qǐ,起,,64
qī,七,,355
qián,前,,85
qián,钱,錢,396
qǐng,请,請,297
qù,去,,41
quán,全,,129
rén,人,,6
rèn,认,認,301
rì,日,,62
sān,三,,94
shān,山,,195
shàng,上,,15
shāng,商,,409
shǎo,少,,182
shéi,谁,誰,446
shén,什,甚,153
shēn,身,,109
shēng,生,,37
shí,时,時,29
shí,十,,78
shì,是,,3
shì,市,,200
shì,识,試,389
shī,师,師,208
shǒu,手,,77
shū,书,書,209
shuǐ,水,,198
shuō,说,說,19
sì,四,,162
suì,岁,歲,594
tā,他,,10
tā,她,,48
tā,它,,280
tài,太,,197
tǐ,体,體,202
tiān,天,,55
tóu,头,頭 ,90
wài,外,,107
wǎn,晚,,515
wèn,问,問,142
wǒ,我,,7
wǔ,五,,196
xí,习,習,783
xī,西,,173
xià,下,,35
xiàn,现,現,104
xiào,校,,447
xiǎo,小,,51
xiè,谢,,732
xiě,写,寫,387
xīn,心 ,,53
xīng,星,,546
xué,学,學,45
yàng,样,樣,103
yè,业,業,149
yě,也,,28
yí,宜,,1361
yī,一,,2
yī,衣,,565
yī,医,醫,621
yǐng,影,,434
yòu,右,,615
yǒu,有,,9
yǒu,友,,416
yǔ,语,語,379
yǔ,雨,,846
yuán,元,,309
yuǎn,远,遠,324
yuè,月,,124
zài,在,,8
zài,再,,174
zǎo,早,,424
zěn,怎,,308
zhè,这,這,11
zhōng,中,,12
zhōng,钟,鐘,855
zhù,住,,211
zhù,助,,688
zi,子,,22
zì,字,,296
zuó,昨,,1591
zuò,作,,70
zuò,做,,248
zuǒ,左,,587
wén,文,,74
